id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
02qxPaTEVGBFfLWgSPXgVy,Chitrakoot Ke Ghat Ghat Pe - Ram Bhajan,Vinod Rathod,['bollywood'],0.629,0.914,8,-4.205,0,0.111,0.484,0.0,0.342,0.782,86.934,351724,4,0,Energetic Happy
038xlI5AhXCNS10znxDqTh,Madhvanti (Kheyal) [Live],Javed Bashir,['qawwali'],0.377,0.724,3,-6.758,0,0.0613,0.456,0.0,0.129,0.262,112.776,887760,4,0,Energetic Happy
03HLdP2kz2NzkJtGZOUBei,Another Man's House (Durkin Remix),Midas Hutch,['pop'],0.915,0.648,10,-5.957,0,0.139,0.101,0.000572,0.0654,0.318,124.02,248058,4,2,Instrumental Calm
03It1uO69CjGWP3yyVe465,Chun Swae (feat. Swae Lee),Nicki Minaj,[],0.848,0.421,10,-8.025,0,0.0648,0.0656,0.00151,0.136,0.212,141.01,370440,4,2,Instrumental Calm
03MIk5A5Otva0TN4zFcPQt,Niki Jai Gal To,Atta Ullah Khan Esakhelvi,['ghazal'],0.564,0.746,8,-6.364,0,0.0349,0.467,0.000357,0.363,0.569,124.749,451707,4,0,Energetic Happy
03NqxuvqY73qcNPHhAXWyT,Dervişlik Dedikleri,Oruç Güvenç ve Tümata,['sufi'],0.594,0.362,4,-7.75,0,0.0355,0.903,0.0,0.119,0.562,84.479,214000,4,1,Dance Party
03cnduvSmtMO1XdgISuc48,Aa Mere Humjoli Aa,Lata Mangeshkar,['bollywood'],0.457,0.593,6,-8.986,1,0.0575,0.914,0.126,0.182,0.824,95.738,359053,4,1,Dance Party
03f2Q9Z8eaF8lPfNL6x3x7,Don't Let The Sun Go Down On Me,Miley Cyrus,[],0.385,0.757,5,-5.378,1,0.0584,0.395,7.3e-05,0.133,0.357,139.869,335814,4,0,Energetic Happy
03fRBhA1oXSaYIflr6uZob,MAIN AASHIQ HOON BAHARON KA,Mukesh,['bollywood'],0.341,0.347,5,-15.225,1,0.043,0.791,0.000228,0.251,0.741,81.618,303960,4,1,Dance Party
03iVbbD3WLK8HzUoxtvsIW,"Badi Mare Kamariya Lahariya Ho - From ""Bharat Mata Ki Jai""",Indu Sonali,['pop'],0.817,0.945,6,-6.542,1,0.13,0.207,3.59e-06,0.123,0.873,136.031,193235,4,2,Instrumental Calm
03uubE0qRPcTwmkJwWYRqk,Woh Nahi Mera Magar,Ghulam Ali,['ghazal'],0.688,0.597,3,-6.302,1,0.0299,0.454,5.01e-06,0.059,0.421,128.036,567696,1,2,Instrumental Calm
04979YpTwVEkgILvGPXOeF,Aa Bhi Rut Badlne Lagi,Nusrat Fateh Ali Khan,['qawwali'],0.46,0.439,5,-17.635,1,0.0426,0.514,3.2e-05,0.317,0.661,134.018,646000,3,1,Dance Party
049eNKCCLoQfHFve0Wa7xt,Madad Kun Ya Habibi Ya Rasool Allah,Chhote Majid Shola,['qawwali'],0.64,0.716,11,-8.653,1,0.063,0.168,0.0,0.0936,0.84,122.791,1100787,4,2,Instrumental Calm
04EGnrKN9aHEZHkPEAuJxJ,"Subah Ki Garmi - From ""It Happened In Calcutta""",Papon,['bollywood'],0.625,0.606,2,-7.434,1,0.0242,0.567,0.000467,0.118,0.44,108.011,266389,1,2,Instrumental Calm
04OERuULAbFq54j25v5dZ4,Finesse (James Hype Remix) [feat. Cardi B],Bruno Mars,[],0.698,0.76,5,-5.798,0,0.106,0.28,3.63e-05,0.0577,0.793,122.877,235732,4,2,Instrumental Calm
04ORZcOZIedNKdmPp8kY7w,Tere Bina - Remix Version,Rahat Fateh Ali Khan,"['sufi', 'qawwali']",0.647,0.843,11,-3.796,0,0.0347,0.00112,0.00964,0.0704,0.473,131.968,320667,4,2,Instrumental Calm
04RXKFeW40NA9gw8Qk5Qmy,Ni Mela,Shehzad Roy,['sufi'],0.748,0.652,1,-13.492,0,0.0389,0.0503,8.29e-06,0.239,0.661,127.874,221840,4,2,Instrumental Calm
04RaThB20KTtI8wwXASw3L,Only Want You - Recorded at Spotify Studios NYC,Rita Ora,[],0.473,0.359,10,-6.126,0,0.0537,0.775,0.0,0.0997,0.733,82.37,142177,4,1,Dance Party
